Address,Type,Sorce,届出番号など,住宅宿泊施設名,Address Data
大田区大森東三丁目８番３号,住宅宿泊,1 第M130016491号大森東三丁目８番３号,M130016491,Big Forest East House,大田区大森東三丁目８番３号
大田区大森南一丁目１番３号,住宅宿泊,2 第M130021798号大森南一丁目１番３号,M130021798,,大田区大森南一丁目１番３号
大田区大森西一丁目９番14号,住宅宿泊,3 第M130002064号大森西一丁目９番14号,M130002064,,大田区大森西一丁目９番14号
大田区大森西一丁目17番29－401号,住宅宿泊,4 第M130001354号大森西一丁目17番29－401号,M130001354,,大田区大森西一丁目17番29－401号
大田区大森西二丁目29番14号,住宅宿泊,5 第M130022934号大森西二丁目29番14号,M130022934,,大田区大森西二丁目29番14号
大田区大森北四丁目３番５号,住宅宿泊,6 第M130000260号大森北四丁目３番５号,M130000260,ＫＵＮＩＮＡＫＡ,大田区大森北四丁目３番５号
大田区大森北四丁目７番９号,住宅宿泊,7 第M130022012号大森北四丁目７番９号,M130022012,,大田区大森北四丁目７番９号
大田区大森北四丁目18番12－１A号,住宅宿泊,8 第M130019288号大森北四丁目18番12－１A号,M130019288,,大田区大森北四丁目18番12－１A号
大田区大森北四丁目18番12－１B号,住宅宿泊,9 第M130019289号大森北四丁目18番12－１B号,M130019289,,大田区大森北四丁目18番12－１B号
大田区大森北四丁目18番12－１C号,住宅宿泊,10 第M130019291号大森北四丁目18番12－１C号,M130019291,,大田区大森北四丁目18番12－１C号
大田区大森北四丁目18番12－２A号,住宅宿泊,11 第M130019292号大森北四丁目18番12－２A号,M130019292,,大田区大森北四丁目18番12－２A号
大田区大森北四丁目18番12－２B号,住宅宿泊,12 第M130019293号大森北四丁目18番12－２B号,M130019293,,大田区大森北四丁目18番12－２B号
大田区大森北四丁目18番12－２C号,住宅宿泊,13 第M130019294号大森北四丁目18番12－２C号,M130019294,,大田区大森北四丁目18番12－２C号
大田区大森北四丁目18番12－３A号,住宅宿泊,14 第M130019295号大森北四丁目18番12－３A号,M130019295,,大田区大森北四丁目18番12－３A号
大田区大森北四丁目18番12－３B号,住宅宿泊,15 第M130019296号大森北四丁目18番12－３B号,M130019296,,大田区大森北四丁目18番12－３B号
大田区大森北四丁目18番12－３C号,住宅宿泊,16 第M130019297号大森北四丁目18番12－３C号,M130019297,,大田区大森北四丁目18番12－３C号
大田区大森北四丁目24番２号,住宅宿泊,17 第M130008630号大森北四丁目24番２号,M130008630,,大田区大森北四丁目24番２号
大田区大森北六丁目30番16番,住宅宿泊,18 第M130023277号大森北六丁目30番16番,M130023277,,大田区大森北六丁目30番16番
大田区山王一丁目44番12号,住宅宿泊,19 第M130017950号山王一丁目44番12号,M130017950,,大田区山王一丁目44番12号
大田区東馬込一丁目13番４－101号,住宅宿泊,20 第M130025032号東馬込一丁目13番４－101号,M130025032,,大田区東馬込一丁目13番４－101号
大田区東馬込一丁目13番４－102号,住宅宿泊,21 第M130025033号東馬込一丁目13番４－102号,M130025033,,大田区東馬込一丁目13番４－102号
大田区東馬込一丁目13番４－103号,住宅宿泊,22 第M130025034号東馬込一丁目13番４－103号,M130025034,,大田区東馬込一丁目13番４－103号
大田区東馬込一丁目13番４－201号,住宅宿泊,23 第M130025035号東馬込一丁目13番４－201号,M130025035,,大田区東馬込一丁目13番４－201号
大田区東馬込一丁目13番４－202号,住宅宿泊,24 第M130025036号東馬込一丁目13番４－202号,M130025036,,大田区東馬込一丁目13番４－202号
大田区東馬込一丁目13番４－203号,住宅宿泊,25 第M130025037号東馬込一丁目13番４－203号,M130025037,,大田区東馬込一丁目13番４－203号
大田区東馬込二丁目７番18－101号,住宅宿泊,26 第M130022161号東馬込二丁目７番18－101号,M130022161,,大田区東馬込二丁目７番18－101号
大田区東馬込二丁目７番18－103号,住宅宿泊,27 第M130022162号東馬込二丁目７番18－103号,M130022162,,大田区東馬込二丁目７番18－103号
大田区東馬込二丁目７番18－201号,住宅宿泊,28 第M130022163号東馬込二丁目７番18－201号,M130022163,,大田区東馬込二丁目７番18－201号
大田区北嶺町32番17-101号,住宅宿泊,29 第M130017345号北嶺町32番17-101号,M130017345,,大田区北嶺町32番17-101号
大田区北嶺町32番17-103号,住宅宿泊,30 第M130017346号北嶺町32番17-103号,M130017346,,大田区北嶺町32番17-103号
大田区北嶺町32番17-202号,住宅宿泊,31 第M130017347号北嶺町32番17-202号,M130017347,,大田区北嶺町32番17-202号
大田区田園調布南11番８号,住宅宿泊,32 第M130006176号田園調布南11番８号,M130006176,,大田区田園調布南11番８号
大田区千鳥二丁目25番７号,住宅宿泊,33 第M130001086号千鳥二丁目25番７号,M130001086,,大田区千鳥二丁目25番７号
大田区南雪谷二丁目15番18号,住宅宿泊,34 第M130000045号南雪谷二丁目15番18号,M130000045,南雪谷オアシス,大田区南雪谷二丁目15番18号
大田区西糀谷一丁目３番19号,住宅宿泊,35 第M130013835号西糀谷一丁目３番19号,M130013835,KAERU-TOKYO,大田区西糀谷一丁目３番19号
大田区西糀谷三丁目４番５－302号,住宅宿泊,36 第M130021573号西糀谷三丁目４番５－302号,M130021573,,大田区西糀谷三丁目４番５－302号
大田区西糀谷三丁目24番８号,住宅宿泊,37 第M130016355号西糀谷三丁目24番８号,M130016355,Nishikoujiya Stay,大田区西糀谷三丁目24番８号
大田区西糀谷四丁目２番12－101号,住宅宿泊,38 第M130005897号西糀谷四丁目２番12－101号,M130005897,,大田区西糀谷四丁目２番12－101号
大田区西糀谷四丁目19番２－101号,住宅宿泊,39 第M130021518号西糀谷四丁目19番２－101号,M130021518,,大田区西糀谷四丁目19番２－101号
大田区西糀谷四丁目19番２－102号,住宅宿泊,40 第M130021519号西糀谷四丁目19番２－102号,M130021519,,大田区西糀谷四丁目19番２－102号
大田区西糀谷四丁目19番２－103号,住宅宿泊,41 第M130021521号西糀谷四丁目19番２－103号,M130021521,,大田区西糀谷四丁目19番２－103号
大田区西糀谷四丁目19番２－104号,住宅宿泊,42 第M130021522号西糀谷四丁目19番２－104号,M130021522,,大田区西糀谷四丁目19番２－104号
大田区北糀谷二丁目11番８－203号,住宅宿泊,43 第M130009359号北糀谷二丁目11番８－203号,M130009359,,大田区北糀谷二丁目11番８－203号
大田区北糀谷二丁目11番８－301号,住宅宿泊,44 第M130009360号北糀谷二丁目11番８－301号,M130009360,,大田区北糀谷二丁目11番８－301号
大田区羽田三丁目３番15－401号,住宅宿泊,45 第M130020135号羽田三丁目３番15－401号,M130020135,,大田区羽田三丁目３番15－401号
大田区羽田六丁目22番３－202号,住宅宿泊,46 第M130015131号羽田六丁目22番３－202号,M130015131,,大田区羽田六丁目22番３－202号
大田区本羽田二丁目１番27号,住宅宿泊,47 第M130003513号本羽田二丁目１番27号,M130003513,,大田区本羽田二丁目１番27号
大田区萩中三丁目９番２－104号,住宅宿泊,48 第M130020684号萩中三丁目９番２－104号,M130020684,ヴァンベール晃永２,大田区萩中三丁目９番２－104号
大田区萩中三丁目15番５号,住宅宿泊,49 第M130006683号萩中三丁目15番５号,M130006683,,大田区萩中三丁目15番５号
大田区東六郷一丁目５番11号,住宅宿泊,50 第M130011799号東六郷一丁目５番11号,M130011799,,大田区東六郷一丁目５番11号
大田区西六郷三丁目９番８号１階,住宅宿泊,51 第M130009459号西六郷三丁目９番８号１階,M130009459,,大田区西六郷三丁目９番８号１階
大田区西六郷三丁目９番８号２階,住宅宿泊,52 第M130009460号西六郷三丁目９番８号２階,M130009460,,大田区西六郷三丁目９番８号２階
大田区仲六郷四丁目31番16－201号,住宅宿泊,53 第M130006600号仲六郷四丁目31番16－201号,M130006600,Haneda Lex Residence,大田区仲六郷四丁目31番16－201号
大田区仲六郷四丁目31番16－301号,住宅宿泊,54 第M130006602号仲六郷四丁目31番16－301号,M130006602,Haneda Lex House,大田区仲六郷四丁目31番16－301号
大田区下丸子二丁目14番19号,住宅宿泊,55 第M130006099号下丸子二丁目14番19号,M130006099,Tokyo e Link,大田区下丸子二丁目14番19号
大田区東矢口一丁目15番17号,住宅宿泊,56 第M130023428号東矢口一丁目15番17号,M130023428,,大田区東矢口一丁目15番17号
大田区多摩川一丁目２番23号,住宅宿泊,57 第M130023779号多摩川一丁目２番23号,M130023779,,大田区多摩川一丁目２番23号
大田区多摩川一丁目２番25号,住宅宿泊,58 第M130022879号多摩川一丁目２番25号,M130022879,,大田区多摩川一丁目２番25号
大田区多摩川一丁目26番25-202号,住宅宿泊,59 第M130017075号多摩川一丁目26番25-202号,M130017075,,大田区多摩川一丁目26番25-202号
大田区多摩川二丁目10番８号,住宅宿泊,60 第M130011800号多摩川二丁目10番８号,M130011800,,大田区多摩川二丁目10番８号
大田区東蒲田一丁目21番15－202号,住宅宿泊,61 第M130008815号東蒲田一丁目21番15－202号,M130008815,,大田区東蒲田一丁目21番15－202号
大田区東蒲田一丁目21番15－203号,住宅宿泊,62 第M130023954号東蒲田一丁目21番15－203号,M130023954,,大田区東蒲田一丁目21番15－203号
大田区東蒲田一丁目21番15－204号,住宅宿泊,63 第M130023955号東蒲田一丁目21番15－204号,M130023955,,大田区東蒲田一丁目21番15－204号
大田区東蒲田一丁目21番15－205号,住宅宿泊,64 第M130023956号東蒲田一丁目21番15－205号,M130023956,,大田区東蒲田一丁目21番15－205号
大田区東蒲田一丁目21番15－206号,住宅宿泊,65 第M130023957号東蒲田一丁目21番15－206号,M130023957,,大田区東蒲田一丁目21番15－206号
大田区東蒲田一丁目21番15－305号,住宅宿泊,66 第M130006492号東蒲田一丁目21番15－305号,M130006492,東蒲田ColorBee Hostel,大田区東蒲田一丁目21番15－305号
大田区東蒲田一丁目21番15－806号,住宅宿泊,67 第M130008180号東蒲田一丁目21番15－806号,M130008180,,大田区東蒲田一丁目21番15－806号
